timestamp,btc_owed,balance,mae,bitcoin_owed,bitcoin_price,buy_sell_flag,Win_loss
2023-01-18 10:35:08.303996,,9700,0.08091200000001117,0.014036834525372514,21372.34,buy,neutral
2023-01-18 10:35:18.963731,,10000.114961674763,0.08091200000001117,0.0,21380.53,sell,win
2023-01-18 10:48:28.206574,,9700.114961674763,0.09661420000001089,0.014129828633438334,21231.68,buy,neutral
2023-01-18 10:48:35.365654,,10000.309670713332,0.09661420000001089,0.0,21245.46,sell,win
2023-01-18 10:48:39.678719,,9700.309670713332,0.08543019999999524,0.014124938850785558,21239.03,buy,neutral
2023-01-18 10:50:40.464495,,9999.725886990629,0.08543019999999524,0.0,21197.7,sell,lost
2023-01-18 10:52:48.260288,,9699.725886990629,0.08529919999998674,0.01419608963978842,21132.58,buy,neutral
2023-01-18 10:52:49.825529,,9999.973182872154,0.08529919999998674,0.0,21150.0,sell,win
2023-01-18 10:52:58.685611,,9699.973182872154,0.08552599999999075,0.01420038350502386,21126.19,buy,neutral
2023-01-18 10:55:01.243422,,9997.225124656263,0.08552599999999075,0.0,20932.67,sell,lost
2023-01-18 10:55:03.696609,,9697.225124656263,0.4654848000000347,0.01434501384054752,20913.19,buy,neutral
2023-01-18 10:55:47.072734,,9997.906799713966,0.4654848000000347,0.0,20960.71,sell,win
2023-01-18 10:55:49.795660,,9697.906799713966,0.16477239999997983,0.014308935644131049,20965.92,buy,neutral
2023-01-18 10:56:03.448103,,9998.199131269175,0.16477239999997983,0.0,20986.35,sell,win
2023-01-18 10:56:06.233098,,9698.199131269175,0.15348139999999694,0.014290430127656413,20993.07,buy,neutral
2023-01-18 10:57:32.992912,,9998.424348447987,0.15348139999999694,0.0,21008.83,sell,win
2023-01-18 10:57:35.641412,,9698.424348447987,0.15029259999998612,0.014277202353644398,21012.52,buy,neutral
2023-01-18 10:57:50.927518,,9998.816400424617,0.15029259999998612,0.0,21039.98,sell,win
2023-01-18 10:57:53.100347,,9698.816400424617,0.1150693999999712,0.014254524029563882,21045.95,buy,neutral
2023-01-18 10:58:15.713054,,9999.034067006549,0.1150693999999712,0.0,21061.22,sell,win
2023-01-18 10:58:17.909401,,9699.034067006549,0.08906119999998191,0.014242038700366494,21064.4,buy,neutral
2023-01-18 11:00:20.219049,,9998.721311836689,0.08906119999998191,0.0,21042.44,sell,lost
2023-01-18 11:00:55.540003,,9698.721311836689,0.09066859999999724,0.014320964316453211,20948.31,buy,neutral
2023-01-18 11:01:07.955466,,9998.857933836269,0.09066859999999724,0.0,20957.85,sell,win
2023-01-18 11:01:17.632429,,9698.857933836269,0.09891200000001117,0.0143227898502982,20945.64,buy,neutral
2023-01-18 11:01:20.476810,,9999.057736754681,0.09891200000001117,0.0,20959.59,sell,win
2023-01-18 11:01:22.868889,,9699.057736754681,0.08136040000001231,0.01431524459026907,20956.68,buy,neutral
2023-01-18 11:01:46.148462,,9999.20976465223,0.08136040000001231,0.0,20967.3,sell,win
2023-01-18 11:02:25.780879,,9699.20976465223,0.08271220000000903,0.01430613117863923,20970.03,buy,neutral
2023-01-18 11:04:27.729341,,9998.300180831893,0.08271220000000903,0.0,20906.45,sell,lost
2023-01-18 11:04:29.542948,,9698.300180831893,0.1550962000000145,0.014344499410441075,20913.94,buy,neutral
2023-01-18 11:05:51.106943,,9998.676006716447,0.1550962000000145,0.0,20940.14,sell,win
2023-01-18 11:07:15.223234,,9698.676006716447,0.08166839999999502,0.014372042353450678,20873.86,buy,neutral
2023-01-18 11:07:45.140049,,9998.869166965676,0.08166839999999502,0.0,20887.3,sell,win
2023-01-18 11:20:50.036317,,9698.869166965676,0.09615840000000753,0.014419132458476504,20805.69,buy,neutral
2023-01-18 11:22:50.531085,,9996.23435889154,0.09615840000000753,0.0,20622.96,sell,lost
2023-01-18 11:22:52.478676,,9696.23435889154,0.35481459999999787,0.014544608313698111,20626.2,buy,neutral
2023-01-18 11:23:09.954135,,9996.8927933099,0.35481459999999787,0.0,20671.47,sell,win
2023-01-18 11:23:11.788237,,9696.8927933099,0.32125740000000225,0.014533489519900708,20641.98,buy,neutral
2023-01-18 11:23:18.040837,,9997.416870941988,0.32125740000000225,0.0,20678.04,sell,win
2023-01-18 11:23:20.853066,,9697.416870941988,0.29988019999998505,0.014530497819698802,20646.23,buy,neutral
2023-01-18 11:24:04.272899,,9997.874872233266,0.29988019999998505,0.0,20677.75,sell,win
2023-01-18 11:24:07.565128,,9697.874872233266,0.20658959999998477,0.014499015516846405,20691.06,buy,neutral
2023-01-18 11:25:53.067750,,9998.187471007808,0.20658959999998477,0.0,20712.62,sell,win
2023-01-18 11:25:55.892874,,9698.187471007808,0.16032640000004175,0.014480239059093373,20717.89,buy,neutral
2023-01-18 11:26:57.696369,,9998.48431590852,0.16032640000004175,0.0,20738.39,sell,win
2023-01-18 11:26:59.532187,,9698.48431590852,0.14884980000003997,0.014464676777154297,20740.18,buy,neutral
2023-01-18 11:27:07.751705,,9998.808035374792,0.14884980000003997,0.0,20762.56,sell,win
2023-01-18 11:27:10.694556,,9698.808035374792,0.10336420000004727,0.014448118012227923,20763.95,buy,neutral
2023-01-18 11:29:11.411229,,9997.660999285801,0.10336420000004727,0.0,20684.56,sell,lost
2023-01-18 11:29:13.820427,,9697.660999285801,0.18642060000001948,0.014508165921188742,20678.01,buy,neutral
2023-01-18 11:29:22.257030,,9997.944779011219,0.18642060000001948,0.0,20697.57,sell,win
2023-01-18 11:29:24.066960,,9697.944779011219,0.17535700000003998,0.014490765518160793,20702.84,buy,neutral
